Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	KEGG_KO	BiGG_reactions	COG_cat
	LFTS_00920			BDKBJLID_01805	Outer membrane protein TolC	LFTS_00920	~~~~~~Outer membrane protein TolC	Outer membrane efflux protein			K15725	CD2t4pp COBALTt4pp FE2t4pp NI2t4pp ZN2t4pp	M
	LFTS_01521			BDKBJLID_02386	secretion protein HlyD	LFTS_01521	~~~~~~membrane fusion protein, Cu(I)/Ag(I) efflux system	Efflux transporter rnd family  mfp subunit	CEBB		K07798 K15727	CD2t4pp COBALTt4pp FE2t4pp NI2t4pp ZN2t4pp	P
	LFTS_02071	cusC	Cu(I)/Ag(I)  efflux system, outer membrane component	BDKBJLID_00370	RND efflux system, outer membrane lipoprotein (NodT)	LFTS_02071	~~~~~~efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family	RND efflux system  outer membrane lipoprotein					M
	LFTS_00918	cusF	Cu(I)/Ag(I) efflux protein	BDKBJLID_01803	Cu(I)/Ag(I) efflux system membrane protein CusA/SilA	LFTS_00918	~~~~~~Cu(I)/Ag(I) efflux system membrane protein CusA/SilA	Heavy metal efflux pump  CzcA	CUSA		K07787	CD2t4pp COBALTt4pp FE2t4pp NI2t4pp ZN2t4pp	P
	LFTS_02048			BDKBJLID_00346	Cu and Ag efflux protein CusF	LFTS_02048	~~~~~~Cu and Ag efflux protein CusF						
Cadmium/cobalt/zinc resistance	LFTS_00167	czcA	Cd/Co/Zn H+-K+ efflux	BDKBJLID_01023	heavy metal efflux pump (CzcA)	LFTS_00167	~~~~~~cobalt-zinc-cadmium resistance protein CzcA	Heavy metal efflux pump  CzcA	CZCA		K15726		P
	LFTS_01520			BDKBJLID_02385	heavy metal efflux pump, CzcA family	LFTS_01520	~~~~~~cobalt-zinc-cadmium resistance protein CzcA	Heavy metal efflux pump  CzcA			K15726	CD2t4pp COBALTt4pp FE2t4pp NI2t4pp ZN2t4pp	P
	LFTS_01619			BDKBJLID_02488	acriflavin resistance protein	LFTS_01619	~~~~~~heavy metal efflux pump, CzcA family	acriflavin resistance protein			K03296 K07787		V
	LFTS_02037			BDKBJLID_00334	heavy metal efflux pump, CzcA family	LFTS_02037	~~~~~~heavy metal efflux pump, CzcA family	Heavy metal efflux pump  CzcA			K07239 K11326		P
	LFTS_02038	czcB	RND family efflux transporter MFP subunit	BDKBJLID_00336	RND family efflux transporter, MFP subunit	LFTS_02038	~~~~~~RND family efflux transporter, MFP subunit	Efflux transporter rnd family  mfp subunit			K15727		P
	LFTS_00326			BDKBJLID_01191	RND family efflux transporter, MFP subunit	LFTS_00326	~~~~~~RND family efflux transporter, MFP subunit	efflux transporter  rnd family  mfp subunit			K03585		V
	LFTS_01620			BDKBJLID_02489	secretion protein (HlyD)	LFTS_01620	~~~~~~membrane fusion protein, multidrug efflux system	efflux transporter  rnd family  mfp subunit	RAGD				V
	LFTS_02419			BDKBJLID_00726	membrane-fusion protein	LFTS_02419	~~~~~~RND family efflux transporter, MFP subunit	efflux transporter  rnd family  mfp subunit	RAGD				V
	LFTS_02423			BDKBJLID_00730	membrane-fusion protein	LFTS_02423	~~~~~~RND family efflux transporter, MFP subunit	efflux transporter  rnd family  mfp subunit	RAGD				V
	LFTS_02039	czcC	Outer membrane protein cobalt-zinc-cadmium efflux system	BDKBJLID_00337	outer membrane protein, cobalt-zinc-cadmium efflux system	LFTS_02039	~~~~~~outer membrane protein, cobalt-zinc-cadmium efflux system	Outer membrane efflux protein			K15725	CD2t4pp COBALTt4pp FE2t4pp NI2t4pp ZN2t4pp	M
	LFTS_01521			BDKBJLID_02386	secretion protein HlyD	LFTS_01521	~~~~~~membrane fusion protein, Cu(I)/Ag(I) efflux system	Efflux transporter rnd family  mfp subunit	CEBB		K07798 K15727	CD2t4pp COBALTt4pp FE2t4pp NI2t4pp ZN2t4pp	P
	LFTS_00665	czcD	Cation diffusion facilitator family transporter	BDKBJLID_01543	cation efflux system protein	LFTS_00665	~~~czcD~~~cation diffusion facilitator family transporter	cation diffusion facilitator family transporter					P
	LFTS_02043		Cobalt-zinc-cadmium efflux system protein	BDKBJLID_00341	cobalt-zinc-cadmium efflux system protein	LFTS_02043	~~~~~~cobalt-zinc-cadmium efflux system protein	cation diffusion facilitator family transporter	CZCD		K16264	CD2t4pp COBALTt4pp FE2t4pp NI2t4pp ZN2t4pp	P
Mercury resistance	LFTS_00560	merR	Mercuric resistance operon regulatory protein	BDKBJLID_01438	MerR family transcriptional regulator, mercuric resistance operon regulatory protein	LFTS_00560	~~~zntR~~~MerR family transcriptional regulator, mercuric resistance operon regulatory protein	Transcriptional regulator	HMRR				K
	LFTS_00559	merA	Mercuric reductase	BDKBJLID_01437	mercuric reductase	LFTS_00559	1.16.1.1~~~~~~mercuric reductase	mercuric reductase	MERA	GO:0005575 GO:0005623 GO:0005886 GO:0016020 GO:0044464 GO:0071944	K00382 K00383 K00520	GLYCL PDH PDHcr	C
	LFTS_01909			BDKBJLID_00202	dihydrolipoamide dehydrogenase	LFTS_01909	1.8.1.4~~~merA~~~dihydrolipoamide dehydrogenase	pyridine nucleotide-disulfide oxidoreductase	MERA		K00520		C
	LFTS_01157			BDKBJLID_02017	Transposase	LFTS_01157	~~~~~~Transposase	Transposase	GK0308		K07485		L
	LFTS_01156	merC	Resistance protein	BDKBJLID_02016	mercuric reductase	LFTS_01156	1.16.1.1~~~~~~mercuric reductase	mercuric reductase	MERA	GO:0005575 GO:0005623 GO:0005886 GO:0016020 GO:0044464 GO:0071944	K00382 K00383 K00520	GLYCL PDH PDHcr	C
	LFTS_00558		Mercuric ion transport protein	BDKBJLID_01436	mercuric ion transport protein	LFTS_00558	~~~~~~mercuric ion transport protein						
Metal tolerance	LFTS_00076		Heavy-metal resistance protein	BDKBJLID_00927	Heavy-metal resistance	LFTS_00076	~~~~~~Heavy-metal resistance						
	 LFTS_00755			BDKBJLID_01636	Heavy-metal resistance	LFTS_00755	~~~~~~Heavy-metal resistance						
	LFTS_01059			BDKBJLID_01944	HD domain-containing protein	LFTS_01059	~~~~~~HD domain-containing protein	Metal dependent phosphohydrolase	RPFG		K07814	CDGUNPD	T
	LFTS_02594												
