Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	EC_number	KEGG_KO	BiGG_reactions	COG_cat
BDKBJLID_00355	putative addiction module component	LFTS_02056	~~~~~~putative addiction module component	Putative addiction module component						S
BDKBJLID_00356	Site-specific recombinase XerD	LFTS_02057	~~~~~~Site-specific recombinase XerD	Phage integrase family	rci					L
BDKBJLID_00357	hypothetical protein	LFTS_02058	~~~~~~hypothetical protein	Protein involved in outer membrane biogenesis						M
BDKBJLID_00358	outer membrane receptor for Fe3+-dicitrate	LFTS_02059	~~~~~~iron complex outermembrane recepter protein	TonB-dependent receptor				ko:K02014		P
BDKBJLID_00359	MotA/TolQ/ExbB proton channel	LFTS_02060	~~~~~~biopolymer transport protein ExbB	bacteriocin transport	exbB	GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0017038,GO:0031224,GO:0031226,GO:0033036,GO:0042886,GO:0044425,GO:0044459,GO:0044464,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944		ko:K03561		U
BDKBJLID_00360	biopolymer transport protein(ExbD)	LFTS_02061	~~~~~~biopolymer transport protein ExbD	biopolymer transport protein				ko:K03559		U
BDKBJLID_00361	putative TonB-like protein	LFTS_02062	~~~~~~protein TonB	energy transducer activity			3.2.1.4	ko:K01179,ko:K03110,ko:K03832,ko:K21471		M
BDKBJLID_00362	hypothetical protein	LFTS_02063	~~~~~~hypothetical protein
BDKBJLID_00363	putative two component transcriptional regulator, winged helix family	LFTS_02064	~~~ompR1~~~DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain	Transcriptional regulatory protein, C terminal						K
BDKBJLID_00364	hypothetical protein	LFTS_02065	~~~~~~hypothetical protein	amine dehydrogenase activity						S
BDKBJLID_00365	exodeoxyribonuclease V, alpha subunit	LFTS_02066	3.1.11.5~~~recD~~~DNA helicase/exodeoxyribonuclease V, alpha subunit	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit has ssDNA-dependent ATPase and 5'-3' helicase activity. When added to pre-assembled RecBC greatly stimulates nuclease activity and augments holoenzyme processivity. Negatively regulates the RecA-loading ability of RecBCD	recD	GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0016020,GO:0030312,GO:0044424,GO:0044444,GO:0044464,GO:0071944	3.1.11.5	ko:K03581		L
BDKBJLID_00366	DNA helicase/exodeoxyribonuclease V, beta subunit	LFTS_02067	3.1.11.5~~~recB~~~DNA helicase/exodeoxyribonuclease V, beta subunit	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit contributes ATPase, 3'-5' helicase, exonuclease activity and loads RecA onto ssDNA	recB	GO:0000166,GO:0000724,GO:0000725,GO:0003674,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0004518,GO:0004519,GO:0004520,GO:0004527,GO:0004529,GO:0004536,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006952,GO:0006974,GO:0006996,GO:0008026,GO:0008094,GO:0008144,GO:0008150,GO:0008152,GO:0008854,GO:0009314,GO:0009338,GO:0009628,GO:0009987,GO:0015616,GO:0016043,GO:0016462,GO:0016787,GO:0016788,GO:0016796,GO:0016817,GO:0016818,GO:0016887,GO:0016895,GO:0017076,GO:0017111,GO:0030554,GO:0032392,GO:0032508,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033554,GO:0034641,GO:0035639,GO:0036094,GO:0042623,GO:0043167,GO:0043168,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044355,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051276,GO:0051716,GO:0070035,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0097159,GO:0097367,GO:0099046,GO:0140097,GO:1901265,GO:1901360,GO:1901363,GO:1902494	3.1.11.5,3.6.4.12	ko:K03582,ko:K16898		L
BDKBJLID_00367	putative exodeoxyribonuclease V, gamma subunit	LFTS_02068	3.1.11.5~~~~~~DNA helicase/exodeoxyribonuclease V, gamma subunit	A helicase nuclease that prepares dsDNA breaks (DSB) for recombinational DNA repair. Binds to DSBs and unwinds DNA via a highly rapid and processive ATP-dependent bidirectional helicase activity. Unwinds dsDNA until it encounters a Chi (crossover hotspot instigator) sequence from the 3' direction. Cuts ssDNA a few nucleotides 3' to the Chi site. The properties and activities of the enzyme are changed at Chi. The Chi-altered holoenzyme produces a long 3'-ssDNA overhang and facilitates RecA-binding to the ssDNA for homologous DNA recombination and repair. Holoenzyme degrades any linearized DNA that is unable to undergo homologous recombination. In the holoenzyme this subunit recognizes the wild- type Chi sequence, and when added to isolated RecB increases its ATP-dependent helicase processivity	recC		3.1.11.5	ko:K03583		L
BDKBJLID_00368	alcohol dehydrogenase	LFTS_02069	1.1.1.1~~~~~~alcohol dehydrogenase, propanol-preferring	alcohol dehydrogenase			1.1.1.1	ko:K13953,ko:K13979		P
BDKBJLID_00369	MarR family transcriptional regulator	LFTS_02070	~~~~~~DNA-binding transcriptional regulator, MarR family	helix_turn_helix multiple antibiotic resistance protein						K
BDKBJLID_00370	RND efflux system, outer membrane lipoprotein (NodT)	LFTS_02071	~~~~~~efflux transporter, outer membrane factor (OMF) lipoprotein, NodT family	Evidence 2b Function of strongly homologous gene	nodT					M
BDKBJLID_00371	RND transporter	LFTS_02072	~~~~~~multidrug efflux pump	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	lmxF_2			ko:K03296		V
BDKBJLID_00372	secretion protein (HlyD)	LFTS_02073	~~~~~~membrane fusion protein, multidrug efflux system	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family				ko:K18901		M
BDKBJLID_00373	hypothetical protein	LFTS_02074	~~~~~~hypothetical protein
BDKBJLID_00374	putative membrane-anchored protein	LFTS_02075	~~~~~~putative membrane-anchored protein	Repeat of Unknown Function (DUF347)						S
BDKBJLID_00375	diguanylate cyclase with GAF sensor	LFTS_02076	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase						T
BDKBJLID_00376	diguanylate cyclase with GAF sensor	LFTS_02076	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein
BDKBJLID_00377
BDKBJLID_00378	NADH ubiquinone oxidoreductase	LFTS_02078	1.6.5.3~~~~~~NADH-quinone oxidoreductase subunit F	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region	nuoF	GO:0000166,GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0006091,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0010181,GO:0015980,GO:0016020,GO:0030964,GO:0032553,GO:0032991,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044425,GO:0044459,GO:0044464,GO:0045271,GO:0045272,GO:0045333,GO:0048037,GO:0050662,GO:0051287,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0070469,GO:0070470,GO:0071944,GO:0097159,GO:0097367,GO:0098796,GO:0098797,GO:0098803,GO:1901265,GO:1901363,GO:1902494,GO:1990204	1.6.5.3	ko:K00334,ko:K00335		C
BDKBJLID_00379	NADH ubiquinone oxidoreductase	LFTS_02078	1.6.5.3~~~~~~NADH-quinone oxidoreductase subunit F	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region	nuoF	GO:0000166,GO:0003674,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0006091,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0010181,GO:0015980,GO:0016020,GO:0030964,GO:0032553,GO:0032991,GO:0036094,GO:0043167,GO:0043168,GO:0044237,GO:0044425,GO:0044459,GO:0044464,GO:0045271,GO:0045272,GO:0045333,GO:0048037,GO:0050662,GO:0051287,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0070469,GO:0070470,GO:0071944,GO:0097159,GO:0097367,GO:0098796,GO:0098797,GO:0098803,GO:1901265,GO:1901363,GO:1902494,GO:1990204	1.6.5.3	ko:K00334,ko:K00335		C
BDKBJLID_00380	sugar ABC transporter substrate-binding protein	LFTS_02079	~~~~~~sugar ABC transporter substrate-binding protein
BDKBJLID_00381	adenine specific DNA methylase Mod	LFTS_02080	2.1.1.72~~~~~~adenine-specific DNA-methyltransferase	DNA methylase			2.1.1.72	ko:K07316		H
BDKBJLID_00382	competence protein (ComEC)	LFTS_02081	~~~~~~competence protein ComEC	Competence protein				ko:K02238		S
BDKBJLID_00383	phosphomannomutase	LFTS_02082	5.4.2.10~~~glmM~~~phosphoglucosamine mutase	Catalyzes the conversion of glucosamine-6-phosphate to glucosamine-1-phosphate	glmM	GO:0003674,GO:0003824,GO:0004614,GO:0004615,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006040,GO:0006047,GO:0006048,GO:0006139,GO:0006464,GO:0006468,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008966,GO:0009058,GO:0009225,GO:0009226,GO:0009987,GO:0016310,GO:0016853,GO:0016866,GO:0016868,GO:0018130,GO:0019438,GO:0019538,GO:0034641,GO:0034654,GO:0036211,GO:0040007,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046349,GO:0046483,GO:0046777,GO:0055086,GO:0071704,GO:1901135,GO:1901137,GO:1901360,GO:1901362,GO:1901564,GO:1901576	5.4.2.10	ko:K03431	iAF987.Gmet_1886,iSBO_1134.SBO_3206	G
BDKBJLID_00384	putative transcriptional regulator, BadM/Rrf2 family	LFTS_02083	~~~~~~Rrf2 family protein	2 iron, 2 sulfur cluster binding	ywnA			ko:K19587		K
BDKBJLID_00385	flavin oxidoreductase/NADH oxidase	LFTS_02084	~~~~~~N-ethylmaleimide reductase	NADH:flavin oxidoreductase / NADH oxidase family	xenB			ko:K10680		C
BDKBJLID_00386	hypothetical protein	LFTS_02085	~~~~~~hypothetical protein
BDKBJLID_00387	OmpA family protein	LFTS_02086	~~~~~~OmpA family protein	chlorophyll binding						M
BDKBJLID_00388	OmpA family protein	LFTS_02087	~~~~~~OmpA family protein	chlorophyll binding						M
BDKBJLID_00389	hypothetical protein	LFTS_02088	~~~~~~hypothetical protein
BDKBJLID_00390	hypothetical protein	LFTS_02089	~~~~~~hypothetical protein
BDKBJLID_00391	peptidase C39	LFTS_02090	~~~~~~Peptidase C39 family protein	Peptidase C39 family				ko:K06992		S
BDKBJLID_00392	hypothetical protein	LFTS_02091	~~~~~~hypothetical protein
BDKBJLID_00393	hypothetical protein	LFTS_02092	~~~~~~hypothetical protein
BDKBJLID_00394	Fis family transcriptional regulator	LFTS_02093	~~~~~~DNA-binding transcriptional response regulator, NtrC family, contains REC, AAA-type ATPase, and a Fis-type DNA-binding domains	Bacterial regulatory protein, Fis family	zraR					T
BDKBJLID_00395	cytochrome c class I	LFTS_02094	~~~~~~Cytochrome C oxidase, cbb3-type, subunit III	Cytochrome C oxidase, cbb3-type, subunit III						C
BDKBJLID_00396	hypothetical protein	LFTS_02095	~~~~~~hypothetical protein
BDKBJLID_00397	Septum formation initiator	LFTS_02096	~~~~~~Septum formation initiator	cell cycle	divIC			ko:K05589,ko:K12065,ko:K13052		D
BDKBJLID_00398	enolase	LFTS_02097	4.2.1.11~~~eno~~~enolase	Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis	eno		4.2.1.11	ko:K01689		G
BDKBJLID_00399	cytochrome c NapC/NirT family protein	LFTS_02098	~~~~~~Tetraheme cytochrome c subunit of nitrate or TMAO reductase	denitrification pathway				ko:K02569,ko:K15876		C
BDKBJLID_00400	hypothetical protein	LFTS_02099	~~~~~~hypothetical protein
BDKBJLID_00401	asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit	LFTS_02100	6.3.5.6~~~gatB~~~aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)	gatB	GO:0003674,GO:0003824,GO:0006082,GO:0006139,GO:0006399,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016070,GO:0016874,GO:0016879,GO:0016884,GO:0019752,GO:0034641,GO:0034660,GO:0043038,GO:0043039,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0046483,GO:0050567,GO:0070681,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564	6.1.1.12,6.3.5.6,6.3.5.7	ko:K01876,ko:K02434		J
BDKBJLID_00402	asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit	LFTS_02101	6.3.5.7~~~gatA~~~aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit A	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln)	gatA		6.3.5.6,6.3.5.7	ko:K02433		J
BDKBJLID_00403	aspartate 1-decarboxylase	LFTS_02102	4.1.1.11~~~panD~~~L-aspartate 1-decarboxylase	Catalyzes the pyruvoyl-dependent decarboxylation of aspartate to produce beta-alanine	panD		4.1.1.11	ko:K01579		H
BDKBJLID_00404	glutamyl-tRNA(Gln) amidotransferase, C subunit	LFTS_02103	6.3.5.7~~~gatC~~~aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C	Allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp- tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases. The reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA(Gln)	gatC		6.3.5.6,6.3.5.7	ko:K02435		J
BDKBJLID_00405	ATP-dependent DNA helicase, UvrD/REP family	LFTS_02104	3.6.4.12~~~pcrA~~~DNA helicase-2 / ATP-dependent DNA helicase PcrA	UvrD-like helicase C-terminal domain	uvrD	GO:0003674,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006281,GO:0006289,GO:0006298,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009628,GO:0009987,GO:0015616,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0017116,GO:0022607,GO:0031297,GO:0032392,GO:0032508,GO:0033554,GO:0034641,GO:0034645,GO:0042623,GO:0042802,GO:0043142,GO:0043170,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0045005,GO:0046483,GO:0050896,GO:0051259,GO:0051260,GO:0051276,GO:0051716,GO:0065003,GO:0070035,GO:0070581,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360,GO:1901576	3.6.4.12	ko:K03657		L
BDKBJLID_00406	TolB protein	LFTS_02105	~~~~~~TolB protein	Involved in the tonB-independent uptake of proteins	VVA0929			ko:K03641		U
BDKBJLID_00407	glucosamine--fructose-6-phosphate aminotransferase	LFTS_02106	2.6.1.16~~~~~~glucosamine--fructose-6-phosphate aminotransferase (isomerizing)	Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source	glmS	GO:0003674,GO:0003824,GO:0004360,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006002,GO:0006040,GO:0006047,GO:0006139,GO:0006464,GO:0006486,GO:0006487,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008483,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009225,GO:0009987,GO:0016740,GO:0016769,GO:0019538,GO:0019637,GO:0034641,GO:0034645,GO:0036211,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0055086,GO:0070085,GO:0070548,GO:0071704,GO:1901135,GO:1901137,GO:1901360,GO:1901564,GO:1901566,GO:1901576	2.6.1.16	ko:K00820	iAF987.Gmet_1487	M
BDKBJLID_00408	N-acetylglucosamine-1-phosphate uridyltransferase	LFTS_02107	2.7.7.23~~~glmU~~~bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase	Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain	glmU	GO:0000270,GO:0000271,GO:0000287,GO:0003674,GO:0003824,GO:0003977,GO:0005488,GO:0005975,GO:0005976,GO:0006022,GO:0006023,GO:0006024,GO:0006629,GO:0006807,GO:0008080,GO:0008150,GO:0008152,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009252,GO:0009273,GO:0009987,GO:0016051,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0016772,GO:0016779,GO:0019134,GO:0022610,GO:0030203,GO:0030260,GO:0033692,GO:0034637,GO:0034645,GO:0035635,GO:0040007,GO:0042546,GO:0043167,GO:0043169,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0044403,GO:0044406,GO:0044409,GO:0044419,GO:0044650,GO:0046872,GO:0051701,GO:0051704,GO:0051806,GO:0051828,GO:0070569,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576,GO:1903509	2.3.1.157,2.7.7.23	ko:K04042,ko:K11528,ko:K16203	iJN678.glmU,iLJ478.TM1629	M
BDKBJLID_00409	putative membrane protein	LFTS_02108	~~~~~~putative membrane protein	Protein of unknown function (DUF502)						S
BDKBJLID_00410	hypothetical protein	LFTS_02109	~~~~~~hypothetical protein	Has lipid A 3-O-deacylase activity. Hydrolyzes the ester bond at the 3 position of lipid A, a bioactive component of lipopolysaccharide (LPS), thereby releasing the primary fatty acyl moiety	omp11			ko:K16079,ko:K21572		M
BDKBJLID_00411	glyoxalase family protein	LFTS_02110	~~~~~~Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily protein	glyoxalase bleomycin resistance protein dioxygenase	cadI	GO:0008150,GO:0010035,GO:0010038,GO:0042221,GO:0046686,GO:0050896	4.4.1.5	ko:K01759		E
BDKBJLID_00412	transcriptional regulator, ArsR family	LFTS_02111	~~~~~~DNA-binding transcriptional regulator, ArsR family	transcriptional regulator	arsR		1.20.4.1	ko:K03741,ko:K03892		K
BDKBJLID_00413	hypothetical protein
BDKBJLID_00414	NAD-dependent protein deacetylase, SIR2 family	LFTS_02113	~~~~~~Sir2 family protein	COG0846 NAD-dependent protein deacetylases, SIR2 family	srtN			ko:K12410		K
BDKBJLID_00415	cytochrome C551	LFTS_02114	~~~~~~Iron-binding zinc finger CDGSH type	Iron-binding zinc finger CDGSH type						S
BDKBJLID_00416	putative membrane protein	LFTS_02115	~~~~~~putative oxidoreductase	Evidence 4 Homologs of previously reported genes of				ko:K15977		S
BDKBJLID_00417	MarR family transcriptional regulator	LFTS_02116	~~~~~~DNA-binding transcriptional regulator, MarR family	Winged helix-turn-helix DNA-binding						K
BDKBJLID_00418	methylthioribulose-1-phosphate dehydratase	LFTS_02117	4.2.1.109~~~mtnB~~~methylthioribulose-1-phosphate dehydratase	Catalyzes the dehydration of methylthioribulose-1- phosphate (MTRu-1-P) into 2,3-diketo-5-methylthiopentyl-1- phosphate (DK-MTP-1-P)	mtnB		3.1.3.87,4.1.2.17,4.2.1.109	ko:K01628,ko:K08964,ko:K08966		E
BDKBJLID_00419	putative hydrolase, haloacid dehalogenase-like family	LFTS_02118	3.1.3.87~~~~~~2-hydroxy-3-keto-5-methylthiopentenyl-1- phosphate phosphatase	L-methionine salvage from methylthioadenosine	mtnX		3.1.3.87,4.2.1.109	ko:K08964,ko:K08966	iYO844.BSU13600	E
BDKBJLID_00420	ribulose 1,5-bisphosphate carboxylase, large subunit	LFTS_02119	5.3.2.5~~~~~~2,3-diketo-5-methylthiopentyl-1-phosphate enolase	Ribulose bisphosphate carboxylase large	mtnW	GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0009853,GO:0009987,GO:0016829,GO:0016830,GO:0016831,GO:0016984,GO:0043094,GO:0044237	5.3.2.5	ko:K08965		G
BDKBJLID_00421	acireductone dioxygenase	LFTS_02120	1.13.11.53~~~~~~1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase	Catalyzes 2 different reactions between oxygene and the acireductone 1,2-dihydroxy-3-keto-5-methylthiopentene (DHK-MTPene) depending upon the metal bound in the active site. Fe-containing acireductone dioxygenase (Fe-ARD) produces formate and 2-keto-4- methylthiobutyrate (KMTB), the alpha-ketoacid precursor of methionine in the methionine recycle pathway. Ni-containing acireductone dioxygenase (Ni-ARD) produces methylthiopropionate, carbon monoxide and formate, and does not lie on the methionine recycle pathway	mtnD		1.13.11.53,1.13.11.54	ko:K08967		S
BDKBJLID_00422	putative alkyl hydroperoxide reductase	LFTS_02121	1.11.1.15~~~~~~peroxiredoxin (alkyl hydroperoxide reductase subunit C)	C-terminal domain of 1-Cys peroxiredoxin	ahpC		1.11.1.15	ko:K03386,ko:K20011		O
BDKBJLID_00423	cytochrome c peroxidase	LFTS_02122	1.11.1.5~~~~~~cytochrome c peroxidase	Di-haem cytochrome c peroxidase			1.11.1.5	ko:K00428		C
BDKBJLID_00424	Fur family transcriptional regulator	LFTS_02123	~~~~~~Fur family transcriptional regulator, peroxide stress response regulator	Belongs to the Fur family	perR	GO:0003674,GO:0003700,GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0080090,GO:0140110,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2000374,GO:2001141		ko:K09825		K
BDKBJLID_00425	hypothetical protein	LFTS_02124	~~~~~~hypothetical protein
BDKBJLID_00426	thymidylate kinase	LFTS_02125	2.7.4.9~~~tmk_1~~~thymidylate kinase	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis	tmk	GO:0003674,GO:0003824,GO:0004798,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006220,GO:0006221,GO:0006227,GO:0006233,GO:0006235,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009041,GO:0009058,GO:0009117,GO:0009123,GO:0009132,GO:0009133,GO:0009138,GO:0009139,GO:0009141,GO:0009142,GO:0009147,GO:0009148,GO:0009165,GO:0009186,GO:0009189,GO:0009196,GO:0009197,GO:0009200,GO:0009202,GO:0009211,GO:0009212,GO:0009219,GO:0009221,GO:0009262,GO:0009263,GO:0009265,GO:0009394,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0019692,GO:0034641,GO:0034654,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044464,GO:0046072,GO:0046075,GO:0046077,GO:0046385,GO:0046483,GO:0046940,GO:0050145,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	2.7.4.9	ko:K00943	iLJ478.TM1099	F
BDKBJLID_00427	DNA polymerase III, gamma/tau subunits	LFTS_02126	2.7.7.7~~~~~~DNA polymerase-3 subunit delta'	DNA polymerase III, delta subunit	holB		2.7.7.7	ko:K02341,ko:K02343		L
BDKBJLID_00428	PSP1-like protein	LFTS_02127	~~~~~~hypothetical protein	PSP1 C-terminal conserved region	yaaT	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464				S
