Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	EC_number	KEGG_KO	BiGG_reactions	COG_cat
	LFTS_02006		Monovalent cation:H+ antiporter CPA1 family	BDKBJLID_00303	monovalent cation:H+ antiporter, CPA1 family	LFTS_02006	~~~~~~monovalent cation:H+ antiporter, CPA1 family	CPA1 family monovalent cation H antiporter	yjcE	GO:0003674,GO:0005215,GO:0005451,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0006814,GO:0006873,GO:0006885,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015079,GO:0015081,GO:0015291,GO:0015297,GO:0015298,GO:0015299,GO:0015318,GO:0015385,GO:0015386,GO:0015491,GO:0015672,GO:0016020,GO:0019725,GO:0022804,GO:0022821,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030004,GO:0030641,GO:0034220,GO:0035725,GO:0042592,GO:0044464,GO:0046873,GO:0048878,GO:0050801,GO:0051179,GO:0051234,GO:0051453,GO:0055067,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071804,GO:0071805,GO:0071944,GO:0098655,GO:0098657,GO:0098659,GO:0098660,GO:0098662,GO:0098719,GO:0098739,GO:0098771,GO:0099516,GO:0099587,GO:1902600		ko:K03316		PT
	LFTS_02015			BDKBJLID_00312	voltage-gated potassium channel	LFTS_02015	~~~~~~voltage-gated potassium channel	(belongs to the monovalent cation proton antiporter 2 (CPA2) transporter (TC 2.A.37) family)	kch	GO:0003674,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015318,GO:0015672,GO:0016020,GO:0016021,GO:0016043,GO:0022607,GO:0022857,GO:0022890,GO:0030001,GO:0031224,GO:0031226,GO:0034220,GO:0042802,GO:0043933,GO:0044085,GO:0044425,GO:0044459,GO:0044464,GO:0051179,GO:0051234,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0055085,GO:0065003,GO:0071804,GO:0071805,GO:0071840,GO:0071944,GO:0098655,GO:0098660,GO:0098662		ko:K10716	iEC042_1314.EC042_1304,iECUMN_1333.ECUMN_1549	P
Proton consuming reactions	LFTS_00495		Glutamate decarboxylase	BDKBJLID_01373	glutamate decarboxylase	LFTS_00495	4.1.1.15~~~~~~glutamate decarboxylase	glutamate decarboxylase activity	gadB		4.1.1.15	ko:K01580	iNJ661.Rv3432c	E
	LFTS_00855	ldcC	Arginine decarboxylase	BDKBJLID_01738	spermidine synthase	LFTS_00855	2.5.1.16~~~speE~~~spermidine synthase	Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine	speE	GO:0003674,GO:0003824,GO:0006576,GO:0006595,GO:0006596,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009308,GO:0009309,GO:0009987,GO:0010487,GO:0016740,GO:0016765,GO:0034641,GO:0042401,GO:0043919,GO:0044106,GO:0044237,GO:0044249,GO:0044271,GO:0071704,GO:1901564,GO:1901566,GO:1901576	2.5.1.16	ko:K00797		H
	LFTS_02102	panD	L-aspartate 1-decarboxylase	BDKBJLID_00403	aspartate 1-decarboxylase	LFTS_02102	4.1.1.11~~~panD~~~L-aspartate 1-decarboxylase	Catalyzes the pyruvoyl-dependent decarboxylation of aspartate to produce beta-alanine	panD		4.1.1.11	ko:K01579		H
	"LFTS_00030 
LFTS_00296"		Carbonic anhydrase
Spermidine	LFTS_00856 	speE	Spermidine synthase	BDKBJLID_01740	S-adenosylmethionine decarboxylase	LFTS_00856	4.1.1.50~~~speH~~~S-adenosylmethionine decarboxylase	Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine	speH		4.1.1.50	ko:K01611		F
	LFTS_00857 	speH	S-adenosylmethionine decarboxylase	BDKBJLID_01741	diguanylate cyclase (GGDEF) domain-containing protein	LFTS_00857	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein	Putative diguanylate phosphodiesterase						T
	LFTS_01989 		Glutathionylspermidine synthase preATP-grasp	BDKBJLID_00285	Glutathionylspermidine synthase preATP-grasp	LFTS_01989	~~~~~~Glutathionylspermidine synthase preATP-grasp							
Chaperones	LFTS_00851	groL	Chaperonin GroEL	BDKBJLID_01734	thioredoxin	LFTS_00851	~~~trx~~~thioredoxin	Thioredoxin-like domain	trxA			ko:K03671,ko:K05838	iIT341.HP0824	O
	LFTS_00258	clpB	ClpB protein	BDKBJLID_01120	heat shock protein HslU	LFTS_00258	~~~hslU~~~ATP-dependent HslUV protease ATP-binding subunit HslU	this subunit has chaperone activity. The binding of ATP and its subsequent hydrolysis by HslU are essential for unfolding of protein substrates subsequently hydrolyzed by HslV. HslU recognizes the N-terminal part of its protein substrates and unfolds these before they are guided to HslV for hydrolysis	hslU	GO:0000166,GO:0000287,GO:0000502,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006508,GO:0006807,GO:0006950,GO:0008144,GO:0008150,GO:0008152,GO:0008233,GO:0009266,GO:0009376,GO:0009408,GO:0009628,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019538,GO:0019904,GO:0022607,GO:0030554,GO:0031597,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0034214,GO:0035639,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043335,GO:0043933,GO:0044085,GO:0044238,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0046872,GO:0050896,GO:0051259,GO:0065003,GO:0071704,GO:0071840,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901363,GO:1901564,GO:1902494,GO:1904949,GO:1905368,GO:1905369		ko:K03667		O
	LFTS_00785	clpC	ATP-dependent Clp protease	BDKBJLID_01667	ATPase with chaperone activity, ATP-binding subunit	LFTS_00785	~~~~~~ATP-dependent Clp protease ATP-binding subunit ClpC	ATPase activity				ko:K03695		O
	LFTS_00927			BDKBJLID_01812	metal-dependent protease with possible chaperone activity	LFTS_00927	2.3.1.234~~~tsaD~~~N6-L-threonylcarbamoyladenine synthase	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction	tsaD	GO:0000287,GO:0000408,GO:0002949,GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005488,GO:0005506,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006508,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016787,GO:0019538,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0042802,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046872,GO:0046914,GO:0070011,GO:0070525,GO:0071704,GO:0090304,GO:0140030,GO:0140032,GO:0140096,GO:1901360,GO:1901564	2.3.1.234	ko:K01409,ko:K03070		J
	LFTS_00839		Clp protease	BDKBJLID_01722	putative integration host factor, beta-subunit	LFTS_00839	~~~ihfB~~~integration host factor subunit beta	regulation of translation	hup			ko:K03530,ko:K05788		L
	LFTS_00948		Molecular chaperone DnaK	BDKBJLID_01833	hypothetical protein	LFTS_00948	~~~dnaJ~~~molecular chaperone DnaJ	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins	dnaJ	GO:0000988,GO:0000989,GO:0003674,GO:0003756,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006457,GO:0006458,GO:0006725,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009266,GO:0009408,GO:0009628,GO:0009889,GO:0009987,GO:0010556,GO:0015035,GO:0015036,GO:0016020,GO:0016032,GO:0016043,GO:0016491,GO:0016667,GO:0016853,GO:0016860,GO:0016864,GO:0016989,GO:0019219,GO:0019222,GO:0022607,GO:0031323,GO:0031326,GO:0032991,GO:0034641,GO:0034645,GO:0042026,GO:0043167,GO:0043169,GO:0043170,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046872,GO:0046914,GO:0050789,GO:0050794,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0051171,GO:0051252,GO:0051704,GO:0055114,GO:0060255,GO:0061077,GO:0065003,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0140096,GO:0140110,GO:1901360,GO:1901576,GO:1903506,GO:2001141		ko:K03686		O
