Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	EC_number	KEGG_KO	BiGG_reactions	COG_cat
	LFTS_02122		Cytochrome c peroxidase	BDKBJLID_00423	cytochrome c peroxidase	LFTS_02122	1.11.1.5~~~~~~cytochrome c peroxidase	Di-haem cytochrome c peroxidase			1.11.1.5	ko:K00428		C
	LFTS_02123	perR	"Fur family transcriptional regulator peroxide stress response 
regulator"	BDKBJLID_00424	Fur family transcriptional regulator	LFTS_02123	~~~~~~Fur family transcriptional regulator, peroxide stress response regulator	Belongs to the Fur family	perR	GO:0003674,GO:0003700,GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0080090,GO:0140110,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2000374,GO:2001141		ko:K09825		K
	LFTS_00101			BDKBJLID_00952	ferric uptake regulator protein Fur family protein	LFTS_00101	~~~fur~~~Fur family transcriptional regulator, ferric uptake regulator	Belongs to the Fur family	fur	GO:0000976,GO:0001067,GO:0001130,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005515,GO:0005575,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0032991,GO:0032993,GO:0042802,GO:0043565,GO:0044212,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1903506,GO:1990837,GO:2000112,GO:2001141		ko:K03711		P
	LFTS_00834			BDKBJLID_01717	hypothetical protein	LFTS_00834	~~~~~~hypothetical protein
	LFTS_00361		Rubrerythrin	BDKBJLID_01231	rubrerythrin	LFTS_00361	~~~~~~Rubrerythrin	Rubrerythrin	rbr					C
	LFTS_01356	gpmM	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	BDKBJLID_02219	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	LFTS_01356	5.4.2.12~~~~~~2,3-bisphosphoglycerate-independent phosphoglycerate mutase	2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity	apgM		5.4.2.12	ko:K15635		G
	LFTS_00965	icd	"isocitrate dehydrogenase (NAD) 
Putative isocitrate dehydrogenase (NADP)"	BDKBJLID_01850	putative isocitrate dehydrogenase (NADP)	LFTS_00965	~~~~~~putative isocitrate dehydrogenase (NADP)	3-isopropylmalate dehydrogenase activity			1.1.1.41	ko:K00030		CE
	LFTS_00966			BDKBJLID_01851	hypothetical protein	LFTS_00966	~~~~~~hypothetical protein
	LFTS_00293	degP	Serine protease Do	BDKBJLID_01155	putative trypsin	LFTS_00293	3.4.21.107~~~~~~serine protease Do	Trypsin	htrA	GO:0003674,GO:0003824,GO:0004175,GO:0004252,GO:0005575,GO:0005623,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0016787,GO:0017171,GO:0019538,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0043170,GO:0044238,GO:0044464,GO:0070011,GO:0071704,GO:0140096,GO:1901564	3.4.21.107	ko:K04771		O
	LFTS_00852	trx	"Thioredoxin 1 
Thioredoxin 2"	BDKBJLID_01735	ATPase involved in DNA repair	LFTS_00852	~~~~~~DNA repair protein RecN (Recombination protein N)	May be involved in recombinational repair of damaged DNA	recN	GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009295,GO:0009987,GO:0033554,GO:0034641,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043590,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360		ko:K03631		L
	LFTS_00318			BDKBJLID_01182	putative thioredoxin	LFTS_00318	1.8.1.8~~~~~~thioredoxin	TIGRFAM thioredoxin		GO:0003674,GO:0003824,GO:0004791,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009636,GO:0009987,GO:0015035,GO:0015036,GO:0016209,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0016671,GO:0019725,GO:0033554,GO:0034599,GO:0042221,GO:0042592,GO:0044424,GO:0044444,GO:0044464,GO:0045454,GO:0047134,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0097237,GO:0098754,GO:0098869,GO:1990748	1.8.1.8	ko:K03671,ko:K03672		O
	LFTS_02417	trxB	Thioredoxin reductase (NADPH)	BDKBJLID_00724	thioredoxin reductase	LFTS_02417	1.8.1.9~~~trxB~~~thioredoxin reductase (NADPH)	Pyridine nucleotide-disulphide oxidoreductase	trxB		1.8.1.9	ko:K00384		C
	LFTS_00473		Glutaredoxin	BDKBJLID_01351	monothiol glutaredoxin	LFTS_00473	~~~~~~monothiol glutaredoxin	Has a glutathione-disulfide oxidoreductase activity in the presence of NADPH and glutathione reductase. Reduces low molecular weight disulfides and proteins				ko:K03676,ko:K06191,ko:K07390		O
	LFTS_00823			BDKBJLID_01706	hypothetical protein	LFTS_00823	~~~~~~hypothetical protein
	LFTS_01556	fumC	Fumarase C	BDKBJLID_02424	fumarate hydratase class II(FumC)	LFTS_01556	4.2.1.2~~~fumC~~~fumarase, class II	Involved in the TCA cycle. Catalyzes the stereospecific interconversion of fumarate to L-malate	fumC	GO:0003674,GO:0003824,GO:0004333,GO:0006082,GO:0006091,GO:0006099,GO:0006101,GO:0006106,GO:0006108,GO:0008150,GO:0008152,GO:0009060,GO:0009987,GO:0015980,GO:0016829,GO:0016835,GO:0016836,GO:0016999,GO:0017144,GO:0019752,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044281,GO:0045333,GO:0055114,GO:0071704,GO:0072350	1.1.1.38,4.2.1.2	ko:K00027,ko:K01679	iSB619.SA_RS09430	C
	LFTS_00831		Thiol-disulfide isomerase or thioredoxin	BDKBJLID_01714	putative acriflavin resistance protein	LFTS_00831	~~~~~~hydrophobic/amphiphilic exporter-1, HAE1 family	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	MA20_39335			ko:K03296		V
	LFTS_00175			BDKBJLID_01031	NHL repeat domain protein	LFTS_00175	~~~~~~Thiol-disulfide isomerase or thioredoxin	PFAM NHL repeat	wapA			ko:K13730		CO
	LFTS_01366			BDKBJLID_02228	Thiol-disulfide isomerase or thioredoxin	LFTS_01366	~~~~~~Thiol-disulfide isomerase or thioredoxin	cell redox homeostasis						CO
	LFTS_02519			BDKBJLID_00828	putative redoxin domain protein	LFTS_02519	~~~~~~Thiol-disulfide isomerase or thioredoxin	cell redox homeostasis						CO
	LFTS_01154		Thioredoxin domain-containing protein	BDKBJLID_02014	MerR family transcriptional regulator, Zn(II)-responsive regulator of zntA	LFTS_01154	~~~~~~MerR family transcriptional regulator, Zn(II)-responsive regulator of zntA	helix_turn_helix, mercury resistance	merR			ko:K08365,ko:K13638,ko:K19591		K
	LFTS_01773		putative peroxiredoxin	BDKBJLID_00060	DsrE/DsrF-like family protein	LFTS_01773	~~~~~~DsrE/DsrF-like family protein					ko:K06039,ko:K07092		
	LFTS_00737	ybbN	ybbN; DnaK co-chaperone, thioredoxin-like protein	BDKBJLID_01618	Tetratricopeptide repeat protein	LFTS_00737	~~~~~~Tetratricopeptide repeat protein	Cellulose synthase						M
	LFTS_00348		L-ectoine synthase	BDKBJLID_01217	ectoine synthase	LFTS_00348	4.2.1.108~~~ectC~~~L-ectoine synthase	Catalyzes the circularization of gamma-N-acetyl- alpha,gamma-diaminobutyric acid (ADABA) to ectoine (1,4,5,6- tetrahydro-2-methyl-4-pyrimidine carboxylic acid), which is an excellent osmoprotectant	ectC		4.2.1.108	ko:K06720		S
	LFTS_00759		High-affinity iron transporter	BDKBJLID_01640	high-affinity Fe2+/Pb2+ permease	LFTS_00759	~~~~~~high-affinity iron transporter	high-affinity ferrous iron transmembrane transporter activity				ko:K07243		P
	LFTS_00856		Spermidine synthase	BDKBJLID_01740	S-adenosylmethionine decarboxylase	LFTS_00856	4.1.1.50~~~speH~~~S-adenosylmethionine decarboxylase	Catalyzes the decarboxylation of S-adenosylmethionine to S-adenosylmethioninamine (dcAdoMet), the propylamine donor required for the synthesis of the polyamines spermine and spermidine from the diamine putrescine	speH		4.1.1.50	ko:K01611		F
	LFTS_00857		S-adenosylmethionine decarboxylase	BDKBJLID_01741	diguanylate cyclase (GGDEF) domain-containing protein	LFTS_00857	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein	Putative diguanylate phosphodiesterase						T
	LFTS_00955 		Cobalamin -5' -phosphate synthase	BDKBJLID_01840	Peroxiredoxin family protein	LFTS_00955	~~~~~~Peroxiredoxin family protein
	LFTS_01989 		Glutathionylspermidine synthase preATP -grasp	BDKBJLID_00285	Glutathionylspermidine synthase preATP-grasp	LFTS_01989	~~~~~~Glutathionylspermidine synthase preATP-grasp							
