Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	EC_number	KEGG_KO	BiGG_reactions	COG_cat
	LFTS_02451	forG1	pyruvate ferredoxin oxidoreductase gamma subunit	BDKBJLID_00759	Pyruvate:ferredoxin oxidoreductase gamma subunit	LFTS_02451	1.2.7.1~~~forG1~~~pyruvate ferredoxin oxidoreductase gamma subunit	Pyruvate ferredoxin/flavodoxin oxidoreductase			1.2.7.1	ko:K00172		C
	LFTS_02456	forG2	pyruvate ferredoxin oxidoreductase gamma subunit	BDKBJLID_00764	pyruvate ferredoxin oxidoreductase gamma subunit	LFTS_02456	1.2.7.1~~~forG2~~~pyruvate ferredoxin oxidoreductase gamma subunit	Pyruvate ferredoxin/flavodoxin oxidoreductase			1.2.7.1	ko:K00172		C
	LFTS_00965		Isocitrate dehydrogenase (NAD+)	BDKBJLID_01850	putative isocitrate dehydrogenase (NADP)	LFTS_00965	~~~~~~putative isocitrate dehydrogenase (NADP)	3-isopropylmalate dehydrogenase activity			1.1.1.41	ko:K00030		CE
	LFTS_00966		Putative isocitrate dehydrogenase (NADP)	BDKBJLID_01851	hypothetical protein	LFTS_00966	~~~~~~hypothetical protein
	LFTS_00581		Aconitase	BDKBJLID_01459	aconitate hydratase	LFTS_00581	4.2.1.3~~~~~~aconitase	Aconitase C-terminal domain	acnA		4.2.1.3	ko:K01681	iAF987.Gmet_2763	C
	LFTS_00582		Citryl-CoA lyase	BDKBJLID_01460	citrate synthase	LFTS_00582	4.1.3.34~~~~~~citryl-CoA lyase	Belongs to the citrate synthase family	gltA		2.3.3.1,4.1.3.34	ko:K01647,ko:K15234		C
	LFTS_00578		Citryl-CoA synthetase large subunit	BDKBJLID_01456	succinyl-CoA synthetase, beta subunit	LFTS_00578	6.2.1.18~~~~~~citryl-CoA synthetase large subunit	ATP citrate lyase citrate-binding			2.3.3.8,6.2.1.18	ko:K15231,ko:K15232	iAF987.Gmet_0305	H
	LFTS_02453	forA	Pyruvate ferredoxin oxidoreductase alpha subunit	BDKBJLID_00761	Pyruvate ferredoxin oxidoreductase	LFTS_02453	1.2.7.1~~~~~~pyruvate ferredoxin oxidoreductase alpha subunit	Pyruvate:ferredoxin oxidoreductase core domain II	porA		1.2.7.1	ko:K00169		C
	LFTS_02452	forB	Pyruvate ferredoxin oxidoreductase beta subunit	BDKBJLID_00760	Pyruvate ferredoxin oxidoreductase	LFTS_02452	1.2.7.1~~~~~~pyruvate ferredoxin oxidoreductase beta subunit	Thiamine pyrophosphate enzyme, C-terminal TPP binding domain	porB		1.2.7.1	ko:K00170		C
	LFTS_02455	forD	Pyruvate:ferredoxin oxidoreductase delta subunit	BDKBJLID_00763	pyruvate ferredoxin oxidoreductase	LFTS_02455	~~~~~~Pyruvate:ferredoxin oxidoreductase, delta subunit	Oxidoreductase	forE		1.2.7.1	ko:K00171,ko:K00172,ko:K02573,ko:K13795,ko:K18930		C
	LFTS_02450		Pyruvate ferredoxin oxidoreductase epsilon subunit	BDKBJLID_00758	pyruvate ferredoxin oxidoreductase	LFTS_02450	~~~~~~pyruvate ferredoxin oxidoreductase	Oxidoreductase	porE		1.2.7.1	ko:K00171,ko:K00172,ko:K02573,ko:K13795,ko:K18930		C
	LFTS_02143	ppsA	Phosphoenolpyruvate synthase	BDKBJLID_00444	phosphoenolpyruvate synthase	LFTS_02143	2.7.9.2~~~ppsA~~~phosphoenolpyruvate synthase	PEP-utilising enzyme, mobile domain	ppsA		2.7.9.2	ko:K01007		G
Calvin-Benson-Bassham cycle carbon dioxide fixation	LFTS_02524 	rbcL	Ribulose-bisphosphate carboxylase large chain	BDKBJLID_00833	ribulose 1,5-bisphosphate carboxylase, large subunit	LFTS_02524	4.1.1.39~~~~~~ribulose-bisphosphate carboxylase large chain	ribulose-bisphosphate carboxylase activity		GO:0003674,GO:0005488,GO:0005515,GO:0042802	4.1.1.39,5.3.2.5	ko:K01601,ko:K08965		G
Nitrate/nitrite regulation	LFTS_00042	ntrX	NtrC family, nitrogen regulation response regulator	BDKBJLID_00893	putative two component, sigma54 specific, transcriptional regulator, Fis family	LFTS_00042	~~~~~~two-component system, NtrC family, nitrogen regulation response regulator NtrX	Bacterial regulatory protein, Fis family	ntrX			ko:K02481,ko:K13599		T
	LFTS_01867	glnG	NtrC family nitrogen regulation response regulator	BDKBJLID_00159	putative two component, sigma54 specific, transcriptional regulator, Fis family	LFTS_01867	~~~~~~two-component system, NtrC family, nitrogen regulation response regulator GlnG	Bacterial regulatory protein, Fis family				ko:K02481		T
	LFTS_00534			BDKBJLID_01413	Putative two component, sigma54 specific, transcriptional regulator, Fis family	LFTS_00534	~~~~~~two-component system, NtrC family, response regulator	Bacterial regulatory protein, Fis family	atoC			ko:K02481		T
	LFTS_01618		"LysR family transcriptional regulator nitrogen assimilation 
regulator"	BDKBJLID_02487	putative transcriptional regulator, LysR family	LFTS_01618	~~~~~~LysR family transcriptional regulator, nitrogen assimilation regulatory protein	Transcriptional regulator				ko:K19338,ko:K21960		K
	LFTS_00311		Nitrogen regulatory protein P-II family protein	BDKBJLID_01175	nitrogen regulatory protein PII	LFTS_00311	~~~~~~nitrogen regulatory protein P-II family protein	Nitrogen regulatory protein P-II	glnB			ko:K02589,ko:K02590,ko:K04751,ko:K04752		K
	LFTS_00704			BDKBJLID_01584	nitrogen regulatory protein PII	LFTS_00704	~~~~~~nitrogen regulatory protein P-II family protein	Belongs to the P(II) protein family	glnK	GO:0003674,GO:0005488,GO:0005515,GO:0006808,GO:0008150,GO:0042802,GO:0045848,GO:0048518,GO:0050789,GO:0065007		ko:K04751,ko:K04752		K
	LFTS_01184			BDKBJLID_02045	nitrogen regulatory protein	LFTS_01184	~~~~~~nitrogen regulatory protein P-II family protein	Nitrogen regulatory protein P-II				ko:K02589,ko:K02590,ko:K04751,ko:K04752		K
	LFTS_01185			BDKBJLID_02046	response regulator receiver and ANTAR domain protein	LFTS_01185	~~~~~~response regulator receiver and ANTAR domain protein	response regulator	nasR			ko:K07183,ko:K22010		T
	LFTS_01200			BDKBJLID_02061	nitrite reductase (NADH) large subunit	LFTS_01200	1.7.1.15~~~~~~nitrite reductase (NADH) large subunit	Nitrite and sulphite reductase 4Fe-4S domain	cysI		1.7.1.15,1.7.7.1,1.8.1.2,1.8.7.1	ko:K00362,ko:K00366,ko:K00381,ko:K00392		C
	LFTS_01203			BDKBJLID_02064	sulfoxide reductase catalytic subunit YedY	LFTS_01203	~~~~~~sulfoxide reductase catalytic subunit YedY	Part of the MsrPQ system that repairs oxidized periplasmic proteins containing methionine sulfoxide residues (Met-O), using respiratory chain electrons. Thus protects these proteins from oxidative-stress damage caused by reactive species of oxygen and chlorine generated by the host defense mechanisms. MsrPQ is essential for the maintenance of envelope integrity under bleach stress, rescuing a wide series of structurally unrelated periplasmic proteins from methionine oxidation. The catalytic subunit MsrP is non-stereospecific, being able to reduce both (R-) and (S-) diastereoisomers of methionine sulfoxide				ko:K02589,ko:K02590,ko:K04751,ko:K04752		V
	LFTS_02313			BDKBJLID_00620	nitrogen regulatory protein PII	LFTS_02313	~~~~~~nitrogen regulatory protein P-II family protein	Evidence 2b Function of strongly homologous gene				ko:K04752		K
	LFTS_02317 		Nif-specific regulatory protein	BDKBJLID_00624	nif-specific regulatory protein	LFTS_02317	~~~~~~Nif-specific regulatory protein	GAF domain	norR	GO:0000976,GO:0000984,GO:0001017,GO:0001067,GO:0001130,GO:0001150,GO:0001151,GO:0001158,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005506,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006351,GO:0006352,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008198,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016043,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0022607,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031334,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0035326,GO:0042802,GO:0043167,GO:0043169,GO:0043170,GO:0043254,GO:0043565,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0045893,GO:0045935,GO:0046483,GO:0046872,GO:0046914,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0060255,GO:0065003,GO:0065007,GO:0070026,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0097159,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902680,GO:1903506,GO:1903508,GO:1990837,GO:2000112,GO:2000142,GO:2000144,GO:2001141		ko:K02584,ko:K11914,ko:K12146,ko:K12266,ko:K15836		KT
Nitrite uptake & assimilation to ammonia	LFTS_01202 	nasA	MFS transporter NNP family nitrate/nitrite transporter	BDKBJLID_02063	nitrogen regulatory protein P-II family protein	LFTS_01202	~~~~~~nitrogen regulatory protein P-II family protein	Belongs to the P(II) protein family				ko:K02589,ko:K02590,ko:K04751,ko:K04752		K
	LFTS_01201 	nirB	Nitrite reductase large subunit	BDKBJLID_02062	MFS transporter, NNP family, nitrate/nitrite transporter	LFTS_01201	~~~nasA~~~MFS transporter, NNP family, nitrate/nitrite transporter	Major Facilitator Superfamily	nasA	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944		ko:K02575	iYO844.BSU03330	P
	LFTS_02431 	nirD	Nitrite reductase small subunit	BDKBJLID_00739	putative rieske iron-sulfur family protein	LFTS_02431	1.7.1.15~~~~~~nitrite reductase (NADH) small subunit	Evidence 3 Function proposed based on presence of conserved amino acid motif, structural feature or limited homology			1.7.1.15	ko:K00363,ko:K05710		P
Nitrogenase genes	LFTS_01957	nifA	Nif-specific regulatory protein	BDKBJLID_00252	sigma54-specific transcriptional regulator, Fis family	LFTS_01957	~~~~~~PAS domain S-box-containing protein	transcription factor binding						T
	LFTS_01169	nifB	FeMo cofactor biosynthesis protein	BDKBJLID_02029	ferredoxin	LFTS_01169	~~~~~~4Fe-4S dicluster domain-containing protein	4fe-4S ferredoxin, iron-sulfur binding domain protein	yfhL			ko:K03522,ko:K05337		C
	LFTS_01163	nifD	Mo-nitrogenase MoFe protein alpha subunit	BDKBJLID_02023	nitrogenase molybdenum-iron protein subunit beta	LFTS_01163	1.18.6.1~~~~~~Mo-nitrogenase MoFe protein subunit NifK	This molybdenum-iron protein is part of the nitrogenase complex that catalyzes the key enzymatic reactions in nitrogen fixation	nifK		1.18.6.1	ko:K02591		F
	LFTS_01165	nifE	Nitrogenase molybdenum-cofactor synthesis protein NifE	BDKBJLID_02025	nitrogenase molybdenum-iron protein NifN	LFTS_01165	~~~~~~nitrogenase molybdenum-iron protein NifN	Component of the dark-operative protochlorophyllide reductase (DPOR) that uses Mg-ATP and reduced ferredoxin to reduce ring D of protochlorophyllide (Pchlide) to form chlorophyllide a (Chlide). This reaction is light-independent. The NB-protein	nifN			ko:K02587,ko:K02592		C
	LFTS_01162	nifH	Nitrogenase iron protein	BDKBJLID_02022	nitrogenase molybdenum-iron protein subunit alpha	LFTS_01162	1.18.6.1~~~nifD~~~Mo-nitrogenase MoFe protein subunit NifD precursor	Nitrogenase component 1 type Oxidoreductase	nifD		1.18.6.1	ko:K02586		C
	LFTS_01164	nifK	Mo-nitrogenase MoFe protein beta subunit	BDKBJLID_02024	nitrogenase molybdenum-cofactor biosynthesis protein NifE	LFTS_01164	~~~~~~nitrogenase molybdenum-cofactor synthesis protein NifE	Nitrogenase component 1 type Oxidoreductase	nifE			ko:K02587,ko:K02592		C
	LFTS_01166	nifN	"Nitrogenase iron-molybdenum cofactor biosynthesis protein 
NifN"	BDKBJLID_02026	nitrogen fixation protein NifX	LFTS_01166	~~~~~~nitrogen fixation protein NifX	Dinitrogenase iron-molybdenum cofactor	nifX			ko:K02596		S
	LFTS_00421		Cysteine desulfurase	BDKBJLID_01293	cysteine desulfurase	LFTS_00421	2.8.1.7~~~icsS2~~~cysteine desulfurase	Master enzyme that delivers sulfur to a number of partners involved in Fe-S cluster assembly, tRNA modification or cofactor biosynthesis. Catalyzes the removal of elemental sulfur atoms from cysteine to produce alanine. Functions as a sulfur delivery protein for Fe-S cluster synthesis onto IscU, an Fe-S scaffold assembly protein, as well as other S acceptor proteins	iscS	GO:0001522,GO:0003674,GO:0003824,GO:0004123,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006790,GO:0006807,GO:0008033,GO:0008144,GO:0008150,GO:0008152,GO:0008483,GO:0009000,GO:0009058,GO:0009451,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016226,GO:0016740,GO:0016769,GO:0016782,GO:0016783,GO:0016829,GO:0016846,GO:0018130,GO:0018131,GO:0019842,GO:0022607,GO:0030170,GO:0031071,GO:0031119,GO:0031163,GO:0034470,GO:0034641,GO:0034660,GO:0036094,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046484,GO:0048037,GO:0050662,GO:0051186,GO:0070279,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:0097163,GO:0140104,GO:1901360,GO:1901363	2.8.1.7	ko:K04487	iPC815.YPO2896,iYL1228.KPN_02862	E
	LFTS_01174			BDKBJLID_02034	dTDP-4-amino-4,6-dideoxygalactose transaminase	LFTS_01174	~~~~~~dTDP-4-amino-4,6-dideoxygalactose transaminase	Belongs to the DegT DnrJ EryC1 family			2.6.1.102	ko:K13010		E
	LFTS_01179	nifT	Nitrogen fixation protein	BDKBJLID_02039	hypothetical protein	LFTS_01179	~~~~~~hypothetical protein							
	LFTS_00420	nifU	Scaffold protein for iron-sulfur cluster assembly	BDKBJLID_01292	FeS cluster assembly scaffold IscU	LFTS_00420	~~~iscU~~~nitrogen fixation protein NifU	A scaffold on which IscS assembles Fe-S clusters. It is likely that Fe-S cluster coordination is flexible as the role of this complex is to build and then hand off Fe-S clusters	iscU	GO:0003674,GO:0003824,GO:0005488,GO:0005506,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006790,GO:0006807,GO:0006873,GO:0006875,GO:0006879,GO:0008150,GO:0008152,GO:0008198,GO:0009987,GO:0010467,GO:0016043,GO:0016226,GO:0016740,GO:0016782,GO:0019538,GO:0019725,GO:0022607,GO:0030003,GO:0031163,GO:0036455,GO:0042592,GO:0042802,GO:0043167,GO:0043169,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0046916,GO:0048037,GO:0048878,GO:0050801,GO:0051186,GO:0051536,GO:0051537,GO:0051539,GO:0051540,GO:0051604,GO:0055065,GO:0055072,GO:0055076,GO:0055080,GO:0055082,GO:0065007,GO:0065008,GO:0071704,GO:0071840,GO:0097428,GO:0098771,GO:1901564		ko:K04488	iAPECO1_1312.APECO1_3996,iB21_1397.B21_02385,iBWG_1329.BWG_2293,iE2348C_1286.E2348C_2812,iEC042_1314.EC042_2733,iEC55989_1330.EC55989_2814,iECABU_c1320.ECABU_c28350,iECBD_1354.ECBD_1155,iECB_1328.ECB_02421,iECDH10B_1368.ECDH10B_2696,iECDH1ME8569_1439.ECDH1ME8569_2456,iECD_1391.ECD_02421,iECED1_1282.ECED1_2960,iECH74115_1262.ECH74115_3761,iECIAI1_1343.ECIAI1_2581,iECIAI39_1322.ECIAI39_2730,iECNA114_1301.ECNA114_2608,iECO103_1326.ECO103_3046,iECO111_1330.ECO111_3253,iECO26_1355.ECO26_3576,iECOK1_1307.ECOK1_2878,iECP_1309.ECP_2534,iECS88_1305.ECS88_2705,iECSE_1348.ECSE_2815,iECSF_1327.ECSF_2373,iECSP_1301.ECSP_3473,iECUMN_1333.ECUMN_2849,iECW_1372.ECW_m2755,iECs_1301.ECs3395,iEKO11_1354.EKO11_1204,iETEC_1333.ETEC_2686,iEcDH1_1363.EcDH1_1139,iEcE24377_1341.EcE24377A_2814,iEcHS_1320.EcHS_A2680,iEcSMS35_1347.EcSMS35_2682,iEcolC_1368.EcolC_1148,iG2583_1286.G2583_3059,iJO1366.b2529,iSDY_1059.SDY_2725,iSFV_1184.SFV_2577,iSF_1195.SF2576,iSFxv_1172.SFxv_2832,iSSON_1240.SSON_2611,iS_1188.S2748,iUMN146_1321.UM146_04055,iUMNK88_1353.UMNK88_3182,iUTI89_1310.UTI89_C2851,iWFL_1372.ECW_m2755,iY75_1357.Y75_RS13200,iZ_1308.Z3796,ic_1306.c3055	C
	LFTS_01178			BDKBJLID_02038	nitrogen fixation protein NifT	LFTS_01178	~~~~~~nitrogen fixation protein NifT	nitrogen fixation	nifT			ko:K02593		Q
	LFTS_01167	nifX	Nitrogenase, MoFe protein	BDKBJLID_02027	putative nitrogen fixation protein	LFTS_01167	~~~~~~putative nitrogen fixation protein	nitrogen fixation protein						S
	LFTS_01177	nifZ	Cysteine desulfurase	BDKBJLID_02037	NifU-like domain-containing protein	LFTS_01177	~~~~~~NifU-like domain-containing protein
	LFTS_01168		Putative nitrogen fixation protein	BDKBJLID_02028	nitrogen fixation protein NifB	LFTS_01168	~~~~~~nitrogen fixation protein NifB	Elongator protein 3, MiaB family, Radical SAM	nifB			ko:K02585,ko:K02592		C
	LFTS_01182		Ferredoxin nif-specific	BDKBJLID_02043	nitrogenase-stabilizing/protective protein	LFTS_01182	~~~~~~nitrogenase-stabilizing/protective protein	May protect the nitrogenase Fe-Mo protein from oxidative damage	nifW			ko:K02595		S
	LFTS_01183		Nitrogenase-stabilizing/protective protein	BDKBJLID_02044	nitrogen regulatory protein P-II family protein	LFTS_01183	~~~~~~nitrogen regulatory protein P-II family protein	Nitrogen regulatory protein P-II				ko:K02589,ko:K02590,ko:K04751,ko:K04752		K
Ammonia & glutamate conversion to glutamine	LFTS_00312	amt	Ammonium transporter	BDKBJLID_01176	putative ammonium transporter	LFTS_00312	~~~amt-1~~~ammonium transporter (TC 1.A.11)	ammonium transporter				ko:K03320		P
	LFTS_00310	nrgA	Ammonium transporter	BDKBJLID_01174	putative ammonium transporter	LFTS_00310	~~~nrgA1~~~ammonium transporter, Amt family	Ammonium Transporter Family	amtB			ko:K03320	iJN678.amt2	P
	LFTS_00703	nrgA	Ammonium transporter	BDKBJLID_01583	ammonium transporter	LFTS_00703	~~~nrgA2~~~ammonium transporter, Amt family	Ammonium Transporter Family	amtB			ko:K03320	iJN678.amt2	P
	LFTS_01907	glnA	Glutamine synthetase	BDKBJLID_00200	glutamine synthetase	LFTS_01907	6.3.1.2~~~glnA~~~glutamine synthetase	Glutamine synthetase, catalytic domain	glnA		6.3.1.2	ko:K01915		E
