Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	EC_number	KEGG_KO	BiGG_reactions	COG_cat
	LFTS_00204	fliG	flagellar motor switch protein	BDKBJLID_01062	putative flagellar motor switch protein FliG	LFTS_00204	~~~~~~flagellar motor switch protein FliG	FliG middle domain	fliG	GO:0001539,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0006928,GO:0006935,GO:0006996,GO:0008150,GO:0009288,GO:0009425,GO:0009605,GO:0009987,GO:0016020,GO:0016043,GO:0022607,GO:0030030,GO:0030031,GO:0040011,GO:0042221,GO:0042330,GO:0042802,GO:0042803,GO:0042995,GO:0043226,GO:0043228,GO:0044085,GO:0044403,GO:0044419,GO:0044422,GO:0044461,GO:0044463,GO:0044464,GO:0044780,GO:0044781,GO:0046982,GO:0046983,GO:0048870,GO:0050896,GO:0051179,GO:0051674,GO:0051701,GO:0051704,GO:0052116,GO:0052126,GO:0052127,GO:0052143,GO:0052192,GO:0052195,GO:0052216,GO:0052243,GO:0070925,GO:0071840,GO:0071944,GO:0071973,GO:0071978,GO:0097588		ko:K02410		N
	LFTS_00205	fliH	putative flagellar assembly protein	BDKBJLID_01063	putative flagellar assembly protein	LFTS_00205	~~~fliH~~~putative flagellar assembly protein	bacterial-type flagellum organization	fliH			ko:K02411,ko:K03223		N
	LFTS_00206	fliI/YscN	type III secretion system ATPase	BDKBJLID_01064	flagellum-specific ATP synthase FliI	LFTS_00206	3.6.3.14~~~~~~type III secretion system ATPase, FliI/YscN	ATP synthase alpha/beta family, beta-barrel domain	fliI	GO:0003674,GO:0005488,GO:0005515,GO:0042802	3.6.3.14	ko:K02412		N
	LFTS_00207	fliJ	flagellar export protein	BDKBJLID_01065	flagellar export protein FliJ	LFTS_00207	~~~~~~flagellar export protein FliJ
	LFTS_00209	fliK	hook-length control protein	BDKBJLID_01067	hook-length control protein FliK	LFTS_00209	~~~~~~hook-length control protein FliK	bacterial-type flagellum assembly	fliK	GO:0001539,GO:0006928,GO:0008150,GO:0009987,GO:0040011,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588		ko:K02414		N
	LFTS_00210	flgD	flagellar basal-body rod modification protein	BDKBJLID_01068	putative flagellar hook capping protein FlgD	LFTS_00210	~~~~~~flagellar basal-body rod modification protein FlgD	flagellar hook	flgD	GO:0001539,GO:0005575,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009424,GO:0009987,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0044422,GO:0044461,GO:0044463,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588		ko:K02389		N
	LFTS_00211	flgE	flagellar hook protein	BDKBJLID_01069	putative flagellar hook protein FlgE	LFTS_00211	~~~~~~flagellar hook protein FlgE	Flagellar basal body protein FlaE	flgE	GO:0005575,GO:0005623,GO:0009288,GO:0009425,GO:0042995,GO:0043226,GO:0043228,GO:0044422,GO:0044461,GO:0044463,GO:0044464		ko:K02390		N
	LFTS_00212	fliL	flagellar protein	BDKBJLID_01070	putative flagellar basal body-associated protein FliL	LFTS_00212	~~~fliL~~~flagellar FliL protein	Controls the rotational direction of flagella during chemotaxis	fliL			ko:K02415		N
	LFTS_00213	fliN/fliY	flagellar motor switch protein	BDKBJLID_01071	flagellar motor switch protein FliN	LFTS_00213	~~~~~~flagellar motor switch protein FliN/FliY	Type III flagellar switch regulator (C-ring) FliN C-term	fliN	GO:0005575,GO:0005623,GO:0005886,GO:0009288,GO:0009425,GO:0016020,GO:0042995,GO:0043226,GO:0043228,GO:0044422,GO:0044461,GO:0044463,GO:0044464,GO:0071944		ko:K02417		N
	LFTS_00214	fliO/fliY	flagellar protein	BDKBJLID_01072	flagellar protein FliO/FliZ	LFTS_00214	~~~~~~flagellar protein FliO/FliZ	flagellar	fliZ			ko:K02418		N
	LFTS_00215	fliP	flagellar biosynthetic protein	BDKBJLID_01073	putative flagellar biosynthesis protein FliP	LFTS_00215	~~~fliP~~~flagellar biosynthetic protein FliP	Plays a role in the flagellum-specific transport system	fliP	GO:0005575,GO:0005623,GO:0005886,GO:0006935,GO:0008150,GO:0009605,GO:0016020,GO:0040011,GO:0042221,GO:0042330,GO:0044403,GO:0044419,GO:0044464,GO:0050896,GO:0051701,GO:0051704,GO:0052116,GO:0052126,GO:0052127,GO:0052143,GO:0052192,GO:0052195,GO:0052216,GO:0052243,GO:0071944		ko:K02419,ko:K03226		N
	LFTS_00216	fliQ	flagellar biosynthetic protein	BDKBJLID_01074	flagellar biosynthesis protein FliQ	LFTS_00216	~~~~~~flagellar biosynthetic protein FliQ	Role in flagellar biosynthesis	fliQ			ko:K02420,ko:K03227		N
	LFTS_00217	fliR	flagellar biosynthetic protein	BDKBJLID_01075	flagellar biosynthetic protein FliR	LFTS_00217	~~~~~~flagellar biosynthetic protein FliR	Bacterial export proteins, family 1	fliR			ko:K02421,ko:K13820		N
	LFTS_00218	flhB	flagellar biosynthetic protein	BDKBJLID_01076	flagellar biosynthesis protein FlhB	LFTS_00218	~~~flhB~~~flagellar biosynthetic protein FlhB	Required for formation of the rod structure in the basal body of the flagellar apparatus. Together with FliI and FliH, may constitute the export apparatus of flagellin	flhB			ko:K02401,ko:K04061,ko:K13820		N
	LFTS_00219	flhA	flagellar biosynthesis protein	BDKBJLID_01077	putative flagellar biosynthetic protein FlhA	LFTS_00219	~~~flhA~~~flagellar biosynthesis protein FlhA	Required for formation of the rod structure of the flagellar apparatus. Together with FliI and FliH, may constitute the export apparatus of flagellin	flhA			ko:K02400		N
	LFTS_00220	flhF	flagellar biosynthesis protein	BDKBJLID_01078	flagellar biosynthesis regulator FlhF	LFTS_00220	~~~flhF~~~flagellar biosynthesis protein FlhF	SRP54-type protein, GTPase domain	flhF	GO:0003674,GO:0005488,GO:0005515,GO:0042802		ko:K02404		N
	LFTS_00221	flhG	flagellar biosynthesis protein	BDKBJLID_01079	flagellar biosynthesis protein FlhG	LFTS_00221	~~~~~~flagellar biosynthesis protein FlhG	Cellulose biosynthesis protein BcsQ	fleN			ko:K02282,ko:K04562		D
	LFTS_00222	fliA	RNA polymerase sigma factor for flagellar operon	BDKBJLID_01080	putative RNA polymerase sigma 70 factor	LFTS_00222	~~~fliA~~~RNA polymerase sigma factor for flagellar operon FliA	Sigma-70, region 4	fliA			ko:K02405,ko:K03093		K
	LFTS_02334	fliS	flagellar protein	BDKBJLID_00640	flagellin-specific chaperone FliS	LFTS_02334	~~~~~~flagellar protein FliS	flagellar protein fliS	fliS	GO:0001539,GO:0003674,GO:0005198,GO:0006928,GO:0008150,GO:0009987,GO:0040011,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0097588		ko:K02422		N
	LFTS_02335	fliD	flagellar hook-associated protein 2	BDKBJLID_00641	flagellar capping protein	LFTS_02335	~~~fliD~~~flagellar hook-associated protein 2	Required for morphogenesis and for the elongation of the flagellar filament by facilitating polymerization of the flagellin monomers at the tip of growing filament. Forms a capping structure, which prevents flagellin subunits (transported through the central channel of the flagellum) from leaking out without polymerization at the distal end	fliD	GO:0001539,GO:0003674,GO:0005198,GO:0005575,GO:0005576,GO:0005623,GO:0006928,GO:0008150,GO:0009288,GO:0009420,GO:0009421,GO:0009424,GO:0009987,GO:0040011,GO:0042995,GO:0043226,GO:0043228,GO:0044422,GO:0044461,GO:0044463,GO:0044464,GO:0048870,GO:0051179,GO:0051674,GO:0071973,GO:0071978,GO:0097588		ko:K02407		N
	LFTS_02336	fliC1	flagellin	BDKBJLID_00642	flagellin	LFTS_02336	~~~fliC1~~~flagellin	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella	fliC			ko:K02406		N
	LFTS_02337	fliW	flagellar assembly factor	BDKBJLID_00643	flagellar assembly factor FliW	LFTS_02337	~~~fliW~~~flagellar assembly factor FliW	Binds to the C-terminal region of flagellin, which is implicated in polymerization, and participates in the assembly of the flagellum	fliW			ko:K13626		S
	LFTS_02339	flgL	flagellar hook-associated protein	BDKBJLID_00645	flagellar hook-associated protein(FlgL)/Flagellin	LFTS_02339	~~~flgL~~~flagellar hook-associated protein 3 FlgL	Bacterial flagellin N-terminal helical region	flgL			ko:K02397		N
	LFTS_02340	flgK	flagellar hook-associated protein	BDKBJLID_00646	flagellar hook-associated protein(FlgK)	LFTS_02340	~~~flgK~~~flagellar hook-associated protein 1 FlgK	Flagellar basal body rod FlgEFG protein C-terminal	flgK			ko:K02396		N
	LFTS_02341	flgN	export chaperone for FlgK and FlgL	BDKBJLID_00647	FlgN protein	LFTS_02341	~~~~~~FlgN protein
	LFTS_02342	flgM	anti-sigma-28 factor	BDKBJLID_00648	flagellar biosynthesis anti-sigma factor FlgM	LFTS_02342	~~~~~~anti-sigma-28 factor, FlgM family	bacterial-type flagellum organization	flgM	GO:0000988,GO:0000989,GO:0003674,GO:0008150,GO:0009889,GO:0009892,GO:0010556,GO:0010605,GO:0016989,GO:0019219,GO:0019222,GO:0030162,GO:0031323,GO:0031324,GO:0031326,GO:0032268,GO:0032269,GO:0045861,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051246,GO:0051248,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0140110,GO:1903506,GO:2001141		ko:K02398		N
	LFTS_02343	fliC2	flagellin	BDKBJLID_00649	flagellin	LFTS_02343	~~~fliC2~~~flagellin	Flagellin is the subunit protein which polymerizes to form the filaments of bacterial flagella	fliC			ko:K02406		N
	LFTS_02344	flgJ	flagellar protein	BDKBJLID_00650	flagellar protein FlgJ	LFTS_02344	~~~~~~flagellar protein FlgJ	Flagellar rod assembly protein muramidase FlgJ	flgJ			ko:K02395,ko:K08309		MNO
	LFTS_02345	flgI	flagellar P-ring protein precursor	BDKBJLID_00651	flagellar basal-body P-ring protein	LFTS_02345	~~~flgI~~~flagellar P-ring protein precursor FlgI	Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation	flgI			ko:K02394		N
	LFTS_02346	flgH	flagellar L-ring protein precursor	BDKBJLID_00652	flagellar L-ring protein precursor FlgH	LFTS_02346	~~~~~~flagellar L-ring protein precursor FlgH
	LFTS_02347	flgA	flagella basal body P-ring formation protein	BDKBJLID_00653	flagella basal body P-ring formation protein FlgA	LFTS_02347	~~~~~~flagella basal body P-ring formation protein FlgA	bacterial-type flagellum organization	flgA			ko:K02279,ko:K02386		N
	LFTS_02348	flgG	flagellar basal-body rod protein	BDKBJLID_00654	flagellar basal body rod protein(flgG)	LFTS_02348	~~~~~~flagellar basal-body rod protein FlgG	Flagellar basal body rod FlgEFG protein C-terminal	flgG			ko:K02392		N
	LFTS_02349	flgE	flagellar basal-body rod protein	BDKBJLID_00655	flagellar basal body rod protein	LFTS_02349	~~~flgE~~~flagellar basal-body rod protein FlgG	Flagellar basal body rod FlgEFG protein C-terminal	flgF			ko:K02391,ko:K02392		N
