Subsystem	Locus_tag	Gene	Predicted_function	Canu_id	Prokka_annotation	Article_id	Article_annotation	EggNOG_annotation	EggNOG_gene_name	GO_terms	KEGG_KO	BiGG_reactions	COG_cat
Putative diguanylate cyclases (GGDEF domain-containing proteins)	LFTS_00174	dosC	"Diguanylate cyclase; cold- and stationary phase-induced oxygen-
dependent biofilm regulator"	BDKBJLID_01030	GGDEF domain-containing protein, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	LFTS_00174	~~~~~~GGDEF domain-containing protein, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants						
	LFTS_00501	dosC	"Diguanylate cyclase; cold- and stationary phase-induced oxygen-
dependent biofilm regulator"	BDKBJLID_01379	putative signaling protein	LFTS_00501	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase					T
	LFTS_00511	dosC	"Diguanylate cyclase; cold- and stationary phase-induced oxygen-
dependent biofilm regulator"	BDKBJLID_01389	PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	LFTS_00511	~~~~~~PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase with PAS PAC sensor					T
	LFTS_00714	dosC	"Diguanylate cyclase; cold- and stationary phase-induced oxygen-
dependent biofilm regulator"	BDKBJLID_01594	diguanylate cyclase	LFTS_00714	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase				DGUNC	T
	LFTS_00872	dosC	"Diguanylate cyclase; cold- and stationary phase-induced oxygen-
dependent biofilm regulator"										
	LFTS_01061	dosC	"Diguanylate cyclase; cold- and stationary phase-induced oxygen-
dependent biofilm regulator"	BDKBJLID_01946	dTMP kinase	LFTS_01061	~~~~~~dTMP kinase	Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis (By similarity)	TMK	GO:0003674 GO:0003824 GO:0004798 GO:0005575 GO:0005622 GO:0005623 GO:0005737 GO:0006139 GO:0006220 GO:0006221 GO:0006233 GO:0006235 GO:0006725 GO:0006753 GO:0006793 GO:0006796 GO:0006807 GO:0008150 GO:0008152 GO:0009058 GO:0009117 GO:0009132 GO:0009133 GO:0009138 GO:0009139 GO:0009141 GO:0009142 GO:0009147 GO:0009148 GO:0009165 GO:0009186 GO:0009189 GO:0009196 GO:0009197 GO:0009200 GO:0009202 GO:0009211 GO:0009212 GO:0009219 GO:0009221 GO:0009262 GO:0009263 GO:0009265 GO:0009394 GO:0009987 GO:0015949 GO:0016301 GO:0016310 GO:0016740 GO:0016772 GO:0016776 GO:0018130 GO:0019201 GO:0019205 GO:0019438 GO:0019637 GO:0019692 GO:0034641 GO:0034654 GO:0044237 GO:0044238 GO:0044249 GO:0044271 GO:0044281 GO:0044424 GO:0044464 GO:0044710 GO:0046072 GO:0046075 GO:0046385 GO:0046483 GO:0046939 GO:0055086 GO:0071704 GO:0072527 GO:0072528 GO:0090407 GO:1901135 GO:1901137 GO:1901293 GO:1901360 GO:1901362 GO:1901564 GO:1901566 GO:1901576	K00943	DTMPK TMDK1 URIDK2r	F
	LFTS_02076	dosC	"Diguanylate cyclase; cold- and stationary phase-induced oxygen-
dependent biofilm regulator"	BDKBJLID_00375	diguanylate cyclase with GAF sensor	LFTS_02076	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase					T
	LFTS_00029		GGDEF family protein, diguanylate cyclase	BDKBJLID_00880	diguanylate cyclase	LFTS_00029	~~~~~~diguanylate cyclase	Diguanylate cyclase					T
	LFTS_00503		GGDEF family protein, diguanylate cyclase	BDKBJLID_01381	Response regulator	LFTS_00503	2.7.7.65~~~~~~two-component system, cell cycle response regulator	Diguanylate cyclase	BMUL_1371		K13069 K13590		T
	LFTS_00562		GGDEF family protein, diguanylate cyclase	BDKBJLID_01440	diguanylate cyclase	LFTS_00562	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase			K02488		T
	LFTS_00858		GGDEF family protein, diguanylate cyclase	BDKBJLID_01742	hypothetical protein	LFTS_00858	~~~~~~hypothetical protein						
	LFTS_01493		GGDEF family protein, diguanylate cyclase	BDKBJLID_02358	GGDEF domain-containing protein, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	LFTS_01493	~~~~~~GGDEF domain-containing protein, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants						
	LFTS_01845		GGDEF family protein, diguanylate cyclase	BDKBJLID_00135	diguanylate cyclase (GGDEF) domain-containing protein	LFTS_01845	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein	Diguanylate cyclase with PAS PAC sensor					T
	LFTS_02591		GGDEF family protein, diguanylate cyclase										
	LFTS_00306		Response regulator receiver modulated diguanylate cyclase	BDKBJLID_01170	putative diguanylate cyclase	LFTS_00306	~~~~~~GGDEF domain-containing protein, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants						
	LFTS_01577		Response regulator receiver modulated diguanylate cyclase	BDKBJLID_02445	diguanylate cyclase (GGDEF) domain-containing protein	LFTS_01577	~~~~~~diguanylate cyclase (GGDEF) domain-containing protein	CHASE3 domain					T
	LFTS_00510		"PAS domain S-box-containing protein/diguanylate cyclase 
(GGDEF) domain-containing protein"	BDKBJLID_01388	PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein	LFTS_00510	~~~~~~PAS domain S-box-containing protein/diguanylate cyclase (GGDEF) domain-containing protein						
c-di-GMP effector proteins	LFTS_00568		PilZ domain-containing protein	BDKBJLID_01446	putative sigma-54-specific transcriptional regulator, Fis family	LFTS_00568	~~~~~~PilZ domain-containing protein	two component  sigma54 specific  transcriptional regulator  Fis family	PRSR		K02481		T
	LFTS_00573		PilZ domain-containing protein	BDKBJLID_01451	two component, sigma54 specific, transcriptional regulator, Fis family	LFTS_00573	~~~atoC~~~PilZ domain-containing protein	two component  sigma54 specific  transcriptional regulator  Fis family	ATOC		K02481		T
	LFTS_02308		PilZ domain-containing protein	BDKBJLID_00614	PilZ domain-containing protein	LFTS_02308	~~~~~~PilZ domain-containing protein	Cellulose synthase catalytic subunit	BCSA	GO:0005575 GO:0005623 GO:0005886 GO:0016020 GO:0044464 GO:0071944	K00694		M
	LFTS_00504	popA	two-component system, cell cycle response regulator	BDKBJLID_01382	GGDEF domain-containing protein, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	LFTS_00504	~~~~~~GGDEF domain-containing protein, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants						
